"No.","Time","Source","Destination","Protocol","Length","Info"
"42","0.018444","192.168.100.9","192.168.100.14","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=60680, ID=2658) [Reassembled in #45]"
"43","0.018979","192.168.100.9","192.168.100.14","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=62160, ID=2658) [Reassembled in #45]"
"44","0.018979","192.168.100.9","192.168.100.14","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=63640, ID=2658) [Reassembled in #45]"
"45","0.018980","192.168.100.9","192.168.100.14","ICMP","422","Echo (ping) request  id=0x0001, seq=53970/53970, ttl=128 (reply in 90)"
"46","0.019144","192.168.100.14","192.168.100.9","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=0, ID=7505) [Reassembled in #90]"
"47","0.019145","192.168.100.14","192.168.100.9","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=1480, ID=7505) [Reassembled in #90]"
"48","0.019145","192.168.100.14","192.168.100.9","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=2960, ID=7505) [Reassembled in #90]"
"49","0.019145","192.168.100.14","192.168.100.9","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=4440, ID=7505) [Reassembled in #90]"
"50","0.019146","192.168.100.14","192.168.100.9","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=5920, ID=7505) [Reassembled in #90]"
"51","0.019146","192.168.100.14","192.168.100.9","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=7400, ID=7505) [Reassembled in #90]"
"52","0.019147","192.168.100.14","192.168.100.9","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=8880, ID=7505) [Reassembled in #90]"
"53","0.019147","192.168.100.14","192.168.100.9","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=10360, ID=7505) [Reassembled in #90]"
"54","0.019147","192.168.100.14","192.168.100.9","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=11840, ID=7505) [Reassembled in #90]"
"55","0.019148","192.168.100.14","192.168.100.9","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=13320, ID=7505) [Reassembled in #90]"
"56","0.019148","192.168.100.14","192.168.100.9","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=14800, ID=7505) [Reassembled in #90]"
"57","0.019149","192.168.100.14","192.168.100.9","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=16280, ID=7505) [Reassembled in #90]"
"58","0.019149","192.168.100.14","192.168.100.9","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=17760, ID=7505) [Reassembled in #90]"
"59","0.019149","192.168.100.14","192.168.100.9","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=19240, ID=7505) [Reassembled in #90]"
"60","0.019150","192.168.100.14","192.168.100.9","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=20720, ID=7505) [Reassembled in #90]"
"61","0.019150","192.168.100.14","192.168.100.9","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=22200, ID=7505) [Reassembled in #90]"
"62","0.019151","192.168.100.14","192.168.100.9","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=23680, ID=7505) [Reassembled in #90]"
"63","0.019151","192.168.100.14","192.168.100.9","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=25160, ID=7505) [Reassembled in #90]"
"64","0.019151","192.168.100.14","192.168.100.9","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=26640, ID=7505) [Reassembled in #90]"
"65","0.019151","192.168.100.14","192.168.100.9","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=28120, ID=7505) [Reassembled in #90]"
"66","0.019152","192.168.100.14","192.168.100.9","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=29600, ID=7505) [Reassembled in #90]"
"67","0.019152","192.168.100.14","192.168.100.9","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=31080, ID=7505) [Reassembled in #90]"
"68","0.019152","192.168.100.14","192.168.100.9","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=32560, ID=7505) [Reassembled in #90]"
"69","0.019153","192.168.100.14","192.168.100.9","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=34040, ID=7505) [Reassembled in #90]"
"70","0.019153","192.168.100.14","192.168.100.9","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=35520, ID=7505) [Reassembled in #90]"
"71","0.019154","192.168.100.14","192.168.100.9","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=37000, ID=7505) [Reassembled in #90]"
